dataset,budget,arm,retained,abs_drop
aime24,1024,jspace,1.3333333333333333,-0.011111111111111106
aime24,1024,random,1.0,0.0
aime24,4096,jspace,1.1,-0.033333333333333326
aime24,4096,random,0.6666666666666666,0.1111111111111111
arith,0,jspace,0.8,0.1333333333333333
arith,0,random,0.7750000000000001,0.1499999999999999
arith,256,jspace,1.0,0.0
arith,256,random,0.8863636363636365,0.08333333333333326
arith,512,jspace,1.0714285714285714,-0.06666666666666665
arith,512,random,1.0535714285714286,-0.04999999999999993
arith,1024,jspace,1.0344827586206897,-0.033333333333333326
arith,1024,random,1.0344827586206897,-0.033333333333333326
arith,4096,jspace,1.0169491525423728,-0.01666666666666672
arith,4096,random,1.0169491525423728,-0.01666666666666672
gsm8k,0,jspace,0.9130434782608697,0.013333333333333308
gsm8k,0,random,0.6521739130434784,0.053333333333333316
gsm8k,256,jspace,1.175438596491228,-0.06666666666666665
gsm8k,256,random,0.9298245614035088,0.026666666666666672
gsm8k,512,jspace,1.2212389380530975,-0.16666666666666674
gsm8k,512,random,1.0176991150442478,-0.01333333333333342
gsm8k,1024,jspace,1.0289855072463767,-0.026666666666666616
gsm8k,1024,random,1.0,0.0
gsm8k,4096,jspace,0.993103448275862,0.00666666666666671
gsm8k,4096,random,1.006896551724138,-0.00666666666666671
math500,0,jspace,0.9705882352941178,0.006666666666666654
math500,0,random,0.7941176470588236,0.04666666666666666
math500,256,jspace,1.1818181818181819,-0.053333333333333344
math500,256,random,0.9318181818181818,0.020000000000000018
math500,512,jspace,1.1944444444444446,-0.09333333333333338
math500,512,random,1.027777777777778,-0.013333333333333364
math500,1024,jspace,1.0360360360360361,-0.026666666666666727
math500,1024,random,0.9459459459459459,0.040000000000000036
math500,4096,jspace,0.9694656488549619,0.026666666666666616
math500,4096,random,0.9541984732824428,0.039999999999999925
